task_id,trial_id,model,prompt_hash,taxonomy_version,success,stage,error_type,signature,returncode,gen_elapsed_sec,elapsed_sec,patch_lines_added,patch_lines_removed,files_changed,timestamp,seed
astropy__astropy-12907,0,Qwen/Qwen2.5-Coder-7B-Instruct,1d006f36813d2fc095bc8da160e7e87abfd8d05ee8957d92087cee1133b4b7b9,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,2.4919960498809814,0.5641908645629883,2,2,1,2026-02-12T15:58:47.671067,42
astropy__astropy-14182,0,Qwen/Qwen2.5-Coder-7B-Instruct,323a3b727d26875c53e665ce8dcd10f792793ee5799a7ac698c292c0950d1af1,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,3.7622694969177246,0.6895279884338379,7,0,1,2026-02-12T15:58:50.727725,42
astropy__astropy-14365,0,Qwen/Qwen2.5-Coder-7B-Instruct,232a841813d672f784b09b1e96ec3c80e68dec2004a89644c92446bea8d6a434,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,2.1299571990966797,0.6147196292877197,1,1,1,2026-02-12T15:58:55.179960,42
astropy__astropy-14995,0,Qwen/Qwen2.5-Coder-7B-Instruct,fd14cad64dd3edbd82b7592d7f25cd7092f8823092380514768bffb1d84d63a2,B-v2,False,GEN,GEN_FAIL,llm_call_fail,,0.010311365127563477,0.010311365127563477,0,0,0,2026-02-12T15:58:57.925186,42
astropy__astropy-6938,0,Qwen/Qwen2.5-Coder-7B-Instruct,c5b32e42610f8f080a47c68fd74b8756f9c425cccd00e2a95d0cec9268bcd381,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,1.7369904518127441,0.5385642051696777,1,1,1,2026-02-12T15:58:57.935922,42
astropy__astropy-7746,0,Qwen/Qwen2.5-Coder-7B-Instruct,b17508f2f0c9e41b5b4f161b651d28ae211cd3e74b0b5d30303560c5732c8eab,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,1.9865388870239258,0.5431139469146729,5,0,1,2026-02-12T15:59:00.212102,42
django__django-10914,0,Qwen/Qwen2.5-Coder-7B-Instruct,9e757ab3e919080971bad8389f6105bf244134b82a80aa8cfddc5287a3888681,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,3.9575464725494385,0.6223819255828857,5,0,2,2026-02-12T15:59:02.742334,42
django__django-10924,0,Qwen/Qwen2.5-Coder-7B-Instruct,b90fbf868d6429a5e1d18495bf110d02a16e6f2fb4eabbbc2b7ccbf0c6ae753a,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,128,3.3665177822113037,0.61348557472229,6,0,2,2026-02-12T15:59:07.322888,42
django__django-11001,0,Qwen/Qwen2.5-Coder-7B-Instruct,4069f50e70379d13a337e3456723f8e177f34a8ca13eeb0ac7327e695448e627,B-v2,False,PATCH,PATCH_FAIL,git_apply_failed,1,4.268249034881592,0.6347672939300537,15,1,2,2026-02-12T15:59:11.303577,42
django__django-11019,0,Qwen/Qwen2.5-Coder-7B-Instruct,58a7fa89650286a791da19a404d1f30f6c3e28f97d146c8cb17bd8160e201aa3,B-v2,False,GEN,GEN_FAIL,llm_call_fail,,0.01263284683227539,0.01263284683227539,0,0,0,2026-02-12T15:59:16.207169,42
